ID,Question Number,Date,Topic,Tags,Question,Correct Answer,Explanation,Option 1,Option 2,Option 3,Option 4
50,,2023-01-02 11:22:55+00:00,,,Complete oxidation of palmitate generates _____ net ATP.,106,"Complete oxidation of palmitate generates 108 mol of ATP. 2 mol of ATP are used in the activation step. Thus, complete oxidation of palmitate gives a net of 106 mol of ATP.",104,106,108,110
51,,2023-01-02 11:28:47+00:00,,,Spontaneous decarboxylation of acetoacetate yields:,Acetone,,Acetyl CoA,Acetone,B-hydroxybutyrate,Acetoacetyl CoA
52,,2023-01-02 11:29:34+00:00,,,What is the primer used for the synthesis of long-chain fatty acids with an odd number of carbon atoms?,Propionyl-CoA,,Acetyl-CoA,Malonyl-CoA,Propionyl-CoA,
53,,2023-01-02 11:34:42+00:00,,,Rate-limiting step for De Novo Fatty Acid Synthesis,Acetyl CoA carboxylase,,Ketoacyl synthase,Enoyl reductase,Acetyl CoA carboxylase,Pyruvate carboxylase
55,,2023-01-02 11:39:22+00:00,,,Which enzyme is the rate-limiting enzyme of the urea cycle?,CPS 1,"Carbamoyl phosphate synthetase 1 is a liver-specific, intramitochondrial, rate-limiting enzyme that acts as a ligase between ammonium and bicarbonate ions.",CPS 1,CPS 2,Ornithine transcarbamylase,Argininosuccinate lyrase
56,,2023-01-02 11:40:18+00:00,,,In which organelle does the regulation of urea synthesis happen?,Mitochondria,The CPS-1 reaction between bicarbonate and ammonium happens in the mitochondrial matrix.,Cytosol,Mitochondria,Inner lipid membrane,Ribosome
57,,2023-01-02 11:42:32+00:00,,,"Amino acids can be classified based on the molecules produced by the catabolism of their carbon skeletons. Which of the following amino acids, when catabolized, produces acetoacetyl CoA/acetyl CoA?",Leucine,"The exclusively ketogenic amino acids in humans in leucine and lysine. Amino acids that are both glucogenic acnd ketogenic are tryptophan, isoleucine, phenylalanine, threonine, and tyrosine.",Leucine,Alanine,Aspartate,Glutamate
58,,2023-01-02 11:43:45+00:00,,,Which of the following biomolecules are tyrosine derivatives?,Norepinephrine,Norepinephrine is three steps away from L-tyrosine: Tyr > L-DOPA > Dopamine > Noradrenaline,Norepinephrine,Serotonin,Cortisol,Glutamine
61,19,2023-01-03 01:36:23+00:00,Lower Limbs,,Which is the safest place to perform a lumbar tap?,Between L3 and L4,"The spinal needle can be safely inserted into the subarachnoid space at the L3-4 or L4-5 interspace, since this is well below the termination of the spinal cord in most patients.",Between T12 and L1,Between L1 and L2,Between L2 and L3,Between L3 and L4
63,20,2023-01-03 01:39:25+00:00,Neuroanatomy,,Which hemisphere is dominant in the majority of the population?,Left hemisphere,"Many studies have shown that the left hemisphere is dominant for language in 90% of cases, as it is for motor behavior.",Left hemisphere,Right hemisphere,,
65,21,2023-01-03 01:44:27+00:00,Proteins (Receptors),,Which receptor is responsive to insulin?,GLUT 4,"GLUT4 is insulin-responsive glucose transporter responsible for postprandial glucose clearance. In muscle & adipose cell, GLUT4 is packaged in vesicles released upon stimulation of insulin receptor.",GLUT 1,GLUT 2,GLUT 3,GLUT 4
67,22,2023-01-03 01:57:42+00:00,Cardiology,,"Which of the following can be heard during the ""DUB"" (S2) sound near the right 2nd ICS along the parasternal border?",Aortic regurgitation,Heart sounds with chronic Aortic regurgitation include a sharp or slapping 2nd heart sound (S2). The aortic valve can be heard in the 2nd intercostal space along the edge of the sternum.,Aortic regurgitation,Aortic stenosis,Mitral regurgitation,Mitral stenosis
69,23,2023-01-03 02:06:44+00:00,Thorax,,A 5 yr old boy was playing with a small toy with his nose and accidentally inhaled it. Where is the foreign body likely be lodged?,Right bronchi,The right main bronchus has a predilection for foreign body impaction because it is wider than the left and the right main bronchus has more direct extension of the trachea than the left main bronchus,Left bronchi,Right bronchi,,
72,24,2023-01-04 01:11:18+00:00,Blood,,Which of the cell below is the first line of defense against pathogens?,3,"The young neutrophil (3) shows a lobulated nucleus, while the cytoplasm reveals very faintly small azurophilic (primary) granules. 1 is basophilic erythroblast, 2 is lymphocyte.",1,2,3,
75,25,2023-01-04 01:22:10+00:00,Upper Limbs,,This muscle is innervated by,Ulnar nerve,The flexor carpi ulnaris is innervated by the ulnar nerve. The corresponding spinal nerves are C8 and T1.,Median nerve,Ulnar nerve,Radial nerve,Axillary nerve
78,26,2023-01-04 01:29:53+00:00,Hormones,,"In Type 1 diabetes patients, these cells are destroyed leading to uncontrolled blood sugar levels.",Beta cells,Type 1diabetes mellitus is believed to result from destruction of insulin-producing β-cells in pancreatic islets. The classic view is that autoreactive T cells destroy healthy β-cell. Alpha - glucagon,Alpha cells,Beta cells,,
80,27,2023-01-04 10:36:37+00:00,Upper Limbs,,Which nerve in the brachial plexus that when damaged leads to wrist drop?,6,Wrist drop is a disorder caused by radial nerve palsy. Because of the radial nerve's innervation of the extensor muscles of the wrist and digits. Remember the MARMU arrangement of the nerve branches.,1,2,3,4
83,28,2023-01-04 10:47:44+00:00,Respiratory System,,Which of the following is the last part of the conducting portion of the respiratory system?,Terminal bronchiole,"Terminal bronchiole is the last part of the conducting portion of the respiratory system, and has the smallest diameter of all (less than 1mm). There is no cartilage, or glands, no goblet cells.",Terminal bronchiole,Respiratory bronchiole,Alveolar ducts,Alveolar sacs
85,,2023-01-04 11:07:17+00:00,,,"At which artery in the Circle of Willis do the anterior and posterior streams of blood come together? In this artery, the pressure of the two streams is equal and they do not mix",Posterior communicating artery,"The posterior communicating artery connects the internal carotid with the posterior cerebral arteries, thus, connecting the anterior and posterior cerebral circulations.",Middle cerebral artery,Anterior cerebral artery,Posterior communicating artery,Anterior communicating artery
89,30,2023-01-05 01:08:41+00:00,Head and Neck,,Which structure passes through this foramen?,Middle meningeal artery,"The foramen spinosum permits the passage of the middle meningeal artery, middle meningeal vein, and the meningeal branch of the mandibular nerve.",CN V2 (Maxillary branch of trigeminal nerve),CN V3 (Mandibular branch of trigeminal nerve),Middle meningeal artery,Emissary vein
92,31,2023-01-05 01:16:15+00:00,Xray,,Which of the structures pointed will enlarge when there is an atrial septal defect?,2,Atrial septal defect is located between the right and left atria. Blood gets pushed from left to right due to pressure. This may cause the right atrium to become enlarged.,1,2,3,4
94,32,2023-01-05 01:20:20+00:00,Amino Acids,,Which is not an essential amino acid?,Tyrosine,Tyrosine is a nonessential amino acid the body makes from another amino acid called phenylalanine. Remember: PVT TIM HALL Never Tyr,Phenylalanine,Leucine,Isoleucine,Tyrosine
96,33,2023-01-05 01:29:09+00:00,Nervous System,,Which of the following happens during repolarization?,Opening of K channels,"The repolarization or falling phase is caused by the slow closing of Na channels and the opening of voltage-gated K channels. As a result, the membrane permeability to Na declines to resting levels.",Opening of Na channels,Opening of K channels,Fast closing of K channels,Fast closing of Na channels
99,34,2023-01-06 03:49:13+00:00,Head and Neck,,A typical med student is crying at 2 AM because she has 3 exams to study for the next day. Her tears drain into ___.,Inferior nasal meatus,Tears are drained down from the conjunctival sac through lacrimal pathways to the inferior nasal meatus and then to the nasopharynx.,Superior nasal meatus,Middle nasal meatus,Inferior nasal meatus,
101,35,2023-01-06 03:53:04+00:00,Genetics,,Which of the following is correctly paired in terms of overall charge?,"DNA (-), Histones (+)",Histones carry + charge because they have an abundance of basic proteins arginine and lysine. The - charged DNA (due to phosphate group) is wrapped around histone.,"DNA (+), Histones (+)","DNA (-), Histones (-)","DNA (+), Histones (-)","DNA (-), Histones (+)"
103,36,2023-01-06 03:58:13+00:00,Cardiovascular system,,Which of the following is the correct sequence of the conduction system of the heart?,SA node > AV node > Bundle of His > Purkinje Fibers,"SA node starts by causing the atrial muscles to contract. Next, to AV node, through the bundle of HIS, down the bundle branches, and through the Purkinje fibers, causing the ventricles to contract.",SA node > AV node > Purkinje Fibers > Bundle of His,SA node > AV node > Bundle of His > Purkinje Fibers,AV node > SA node > Purkinje Fibers > Bundle of His,AV node > SA node > Purkinje Fibers > Bundle of His
106,37,2023-01-06 04:07:29+00:00,Upper Limbs,,The patient is trying to make a fist but instead this happens. This is caused by which nerve damage?,Median nerve,A lesion of median nerve will affect the flexors of the second and third fingers resulting in the benediction sign when trying to make a fist. The MCP joints of the 4th & 5th fingers will be flexed.,Radial nerve,Ulnar nerve,Median nerve,Axillary nerve
110,38,2023-01-06 04:15:17+00:00,Lymphatic System,,This lymphoid tissue specimen is from the?,Palatine Tonsils,"The luminal surface of palatine tonsil is stratified squamous epithelium. The epithelium deeply invaginates into the tonsil, forming tonsillar crypts, which increases SA for antigen sampling.",Lymph node,Palatine Tonsils,Spleen,Thymus
117,39,2023-01-06 05:47:44+00:00,Abdomen viscera,,Cardiac orifice of the stomach is found at the level of _________,T11 and 7th costal cartilage,,T12 and 8th costal cartilage,T11 and 7th costal cartilage,L1 and 8th costal cartilage,
119,40,2023-01-06 07:08:31+00:00,Respiratory system,,"Which of the following laryngeal cartilages consist of paired, hyaline cartilages?",Arytenoid cartilage,"There are 9 laryngeal cartilages, 3 are single (thyroid, cricoid, epiglottic) and 3 are paired (arytenoid, cuneiform, corniculate). Thyroid, cricoid, and arytenoid are hyaline. The rest are elastic.",Corniculate cartilage,Cuneiform cartilage,Arytenoid cartilage,Cricoid cartilage
123,41,2023-01-07 01:57:35+00:00,Lower Limbs,,This happens when this nerve is damaged.,Superior gluteal nerve,Damage to the superior gluteal nerve results in paralysis of the gluteus medius muscle resulting in a characteristic gait on walking and standing known as the Trendelenburg gait.,Superior gluteal nerve,Inferior gluteal nerve,Sciatic nerve,Femoral nerve
125,42,2023-01-07 02:02:59+00:00,Upper Limbs,,Which of the following is the most commonly fractured carpal bone?,Scaphoid,"Scaphoid fractures are the most common carpal fractures and tend to occur in younger, active individuals. They account for 2% to 7% of all fractures and 60% to 70% of carpal bone fractures. ",Capitate,Hamate,Scaphoid,Triquetrium
128,43,2023-01-07 02:37:15+00:00,Liver,,Located at the center of a portal lobule (a liver lobule):,Terminal branches of the hepatic artery,"Center of portal lobule - terminal br. Of hepatic A.
Center of classical lobule - terminal br. Hepatic venule
Center of liver acinus - terminal br. Of portal triad",Terminal hepatic venule,Terminal branches of portal triad,Terminal branches of the hepatic artery,
130,44,2023-01-07 02:39:10+00:00,Liver,,Cells in this hepatic zone are first to show ischemic necrosis when perfusion is reduced,Zone 3,"Zone 1 first to show morphologic changes after bile duct occlusion; last to die if circulation is impaired
Zone 3 first to show ischemic necrosis in reduced perfusion; first to show fat accumulation",Zone 1,Zone 2,Zone 3,Zone 4
132,45,2023-01-07 02:43:12+00:00,Digestive System,,Which of the following are the receptors for umami taste?,T1R1 & T1R3,"BITTER = T2R
SWEET = T1R2 & T1R3
UMAMI = T1R1 & T1R3",T1R2 & T1R3,T1R1 & T1R2,T1R1 & T1R3,
134,46,2023-01-07 02:45:32+00:00,Digestive System,,This cell type is less numerous in taste buds and they do not synapse with the nerve cells.,Supporting cells,"⇒ Neuroepithelial cells most numerous and form a synapse with afferent sensory neurons
⇒ Supporting cells less numerous and do not synapse with nerve cells
⇒ Basal cells are stem cells",Neuroepithelial cells,Supporting cells,Basal cells,Apical cells
145,47,2023-01-08 22:51:41+00:00,Thorax,,Which of the following does not drain into the thoracic duct?,Right face,"The right lymphatic duct is responsible for draining the right side of the head and neck, the right side of the thorax & the right upper limb. The thoracic duct drains lymph from the rest of the body.",Left face,Left lower limbs,Right face,Right lower limbs
147,48,2023-01-08 22:59:10+00:00,Nucleic Acids,,Sickle cell anemia is caused by which mutation?,Missense mutation,"Sickle cell disease is a missense mutation, the beta-haemoglobin gene converts GAG into a GUG, valine is produced instead of glutamic acid. Nonsense-stop, frameshift-insert/delete, silent - same AA",Missense mutation,Nonsense mutation,Frameshift mutation,Silent mutation
149,49,2023-01-08 23:09:59+00:00,Head and Neck,,Which of the following is correctly matched?,"Stapedius (CN VII, stapes); Tensor Tympani (CN V, malleus)",Stapedius is attached to stapes; innervated by branch of CN VII. The tensor tympani is attached to malleus; innervated by branch of CN V. They decrease sound transmission through the middle ear.,"Stapedius (CN VII, malleus); Tensor Tympani (CN V, stapes)","Stapedius (CN V, malleus); Tensor Tympani (CN VII, stapes)","Stapedius (CN VII, stapes); Tensor Tympani (CN V, malleus)","Stapedius (CN V, stapes); Tensor Tympani (CN VII, malleus)"
152,50,2023-01-10 01:21:51+00:00,Upper Limbs,,Erb's palsy happens due to a damage in which nerve roots of the brachial plexus?,C5 and C6,"Erb's palsy results from injury to nerve roots C5 and C6, with C7 also affected in 50% of instances. The infant’s arm hangs limply from the shoulder with flexion of the wrist and fingers.",C5 and C6,C7 and C8,C8 and T1,T1 and T2
154,51,2023-01-10 01:28:35+00:00,Lower Limbs,,Which of the following is the most commonly injured ligament of the knee?,Anterior cruciate ligament,The ACL is the most commonly injured ligament in the knee. Because it's smaller and weaker than the PCL and there is the lack of muscle support for twisting or rotational movements around the joint.,Posterior cruciate ligament,Anterior cruciate ligament,Medial collateral ligament,Lateral collateral ligament
156,52,2023-01-10 01:34:54+00:00,Nucleic Acids,,Which of the following will lead to decreased gene expression?,"↑ Methylation, ↓ Acetylation","Acetylation neutralises the charge, making DNA less tightly coiled and increasing transcription. Methylation maintains the positive charge, making DNA more coiled and reducing transcription.","↑ Methylation, ↑ Acetylation","↓ Methylation, ↓ Acetylation","↑ Methylation, ↓ Acetylation","↓ Methylation, ↑ Acetylation"
158,53,2023-01-10 01:50:35+00:00,Muscular System,,Which of the following is a characteristic of Type 2A muscle fiber?,Uses oxidative phosphorylation,"Type 1: slow oxidative fibers, aerobic, low power contraction, slow to fatigue. 
Type 2A: Fast oxidative fibers: aerobic, intermediate.
Type 2B: Fast glycolytic fibers: anaerobic, fatigue quickly.",Primarily uses glycolysis,Slowest to fatigue among all types of muscle fibers,With significantly high myoglobin content,Uses oxidative phosphorylation
161,54,2023-01-10 01:58:40+00:00,Hematopoeisis,,This cell is responsible for the production of ?,Thrombocytes,Normal megakaryocyte: Note the multilobed nucleus as well as the prominent cytoplasm from which small fragments of cytoplasm will bud off and become platelets. Platelets or thrombocytes.,Erythrocytes,Leukocytes,Thrombocytes,Lymphocytes
166,55,2023-01-11 00:39:57+00:00,Back and Spinal Cord,,This is a,Lumbar vertebrae,"These vertebrae are characterized by the absence of the foramen transversarium within the transverse process, and by the absence of facets on the sides of the body.",Cervical vertebrae,Thoracic vertebrae,Lumbar vertebrae,Sacral vertebrae
168,56,2023-01-11 00:45:10+00:00,Head and Neck,,"For inserting catheters or Internal jugular vein cannulation, this side is safer and more preferred.",Right IJV,"Anatomically, the right side provides a direct route to the superior vena cava and is often larger than the left one. Due to the anatomy of the lungs there is a slightly lower risk of pneumothorax.",Left IJV,Right IJV,,
170,57,2023-01-11 00:52:14+00:00,Vitamins,,Which of the following is not stored in the liver?,Pyridoxine,"Lipid-soluble vitamins A, D(calciferol),E (tocopherol),K (Phytomenadione) are stored in the liver, as is Vitamin B12 (cobalamin).  B6 - pyridoxine",Tocopherol,Calciferol,Cobalamin,Pyridoxine
172,58,2023-01-11 01:09:47+00:00,Nervous System,,Which nerve fibers are mainly responsible for the reflex arc that results in the quick pulling away from a hot stove?,A-delta fibers,"A-alpha-muscle spindle & golgi tendon
A-beta-muscle spindle & cutaneous mechanoreceptors
A-delta-pain pressure & temperature A-gamma-motor activation of muscle spindle B-autonomic C-lasting pain",A-alpha fibers,A-beta fibers,A-gamma fibers,A-delta fibers
175,59,2023-01-11 01:21:35+00:00,Connective Tissue,,What type of collagen is abundant here (yellow arrow)?,Type 4,"I- bones, tendons, organs
II- found mainly in cartilage
III- found mainly in reticular fibres  Collagen IV- basement membrane of cell membranes (shown here) Collagen V- hair, nails",Type 1,Type 2,Type 3,Type 4
178,60,2023-01-12 01:00:18+00:00,Connective Tissue,,Which connective tissue is the underlying problem in this syndrome?,Collagen,"Classical Ehlers-Danlos syndrome: skin hyperelasticity, joint hypermobility, increased bruising, abnormal scarring. Cause: Type V collagen mutation, a type I collagen fibrillogenesis regulator.",Bone,Cartilage,Collagen,Elastin
182,61,2023-01-12 01:09:37+00:00,Thorax,,Which of the following branches off to become a vertebral artery?,6,"The main branches of the subclavian artery include the vertebral artery, the internal thoracic artery, the thyrocervical trunk, the costocervical trunk, and the dorsal scapular artery. ",1,2,3,4
185,62,2023-01-12 01:23:21+00:00,Cardiovascular System,,Which structure above can withstand high pressure?,C,"Arteries have thick walls so they can handle the high pressure and velocity that expels your blood out of your heart. A - Vein, B - lymphatic vessel, C - artery",A,B,C,
188,63,2023-01-12 01:32:48+00:00,Upper Limbs,,Which nerve will be usually injured in this kind of fracture?,Radial nerve,"Midshaft humerus fractures involves injury to the radial nerve. Injury occurs in 18% of closed mid-shaft or distal shaft humerus fractures. In open humerus fractures, radial nerve laceration is 60%.",Axillary nerve,Radial nerve,Ulnar nerve,Median nerve
193,63,2023-01-13 02:18:02+00:00,Head and Neck,,This is the duct of the gland where the facial nerve courses through to innervate muscles of facial expression.,Stensen's duct,"The parotid duct (Stensen's duct) is the main excretory duct of the parotid gland.The facial nerve courses through the parotid gland. Wharton (submandibular), Ducts of Rivinus (sublingual)",Wharton's duct,Stensen's duct,Ducts of Rivinus,
195,64,2023-01-13 02:24:56+00:00,Back and Spinal Cord,,Which of the following typically ends at L1 in the average adult?,Conus medullaris,"The most distal part of the spinal cord is conus medullaris (level L1), and its tapering end continues as the filum terminale. Distal to this is a collection of nerve roots called the cauda equina.",Filum terminale,Cauda equina,Conus medullaris,
198,65,2023-01-13 02:31:50+00:00,Upper Limbs,,Which is responsible for finger abduction?,A,"The palmar interosseous muscles adduct the fingers towards the middle finger. This is in contrast to the dorsal interossei, which abduct the fingers away from the middle finger.",A,B,,
200,66,2023-01-13 02:41:17+00:00,Hormones,,Which of the following does NOT happen in a healthy adult when blood sugar rises?,Decrease rate of glycolysis,"All are normal effects of insulin, except B because it increases the rate of glycolysis in muscle and adipose tissue. Since there is abundance of glucose, it is used as main source of ATP.",Increase glucose transport in skeletal muscles and adipose tissue,Decrease rate of glycolysis,Increase rate of glycogen synthesis,Decrease glycogen breakdown
202,67,2023-01-13 02:55:04+00:00,Neuroanatomy,,Is the human brain plastic?,Yes,"Our brains are famously flexible, or “plastic,” because neurons can do new things by forging new or stronger connections with other neurons. So keep learning, you genius!",Yes,No,,
203,,2023-01-13 06:31:52+00:00,,,Middle cranial fossa is prone to fracture due to the presence of several foramen. Which of the ff. is not found in the middle cranial fossa?,Jugular foramen,Jugular foramen is found in the floor of posterior cranial fossa.,Foramen rotundum,Foramen spinosum,Foramen lacerum,Jugular foramen
204,,2023-01-13 06:46:23+00:00,,,You must do an otoscopic examination on the external auditory meatus of an adult by first…,Pulling the auricle upward and backward,"The otoscopic exam is performed by gently pulling the auricle upward and backward. In children, the auricle should be pulled downward and backward. Children have more horizontal EAM than adults have.",Pulling the auricle backward and downward,Pushing the otoscope forward,Pulling the auricle forward and backward,Pulling the auricle upward and backward
206,70,2023-01-13 06:53:13+00:00,Ear,,Which communicates with the mastoid antrum?,Middle ear,,Internal ear,External ear,Middle ear,
209,71,2023-01-14 01:22:28+00:00,Special Senses,,Which of the following if correctly paired?,Myopia - eyeball grows long - concave,"Hyperopia corrected with convex lenses, happens when your eyeball grows too short from front to back. A concave lens is used to correct myopia, commonly the result of abnormal elongation of eyeball.",Myopia - eyeball grows short - convex lens,Myopia - eyeball grows long - concave,Hyperopia - eyeball grows short - concave,Hyperopia - eyeball grows long - convex
212,72,2023-01-14 01:29:17+00:00,Upper Limbs,,Which is the best site for venipuncture?,A,"Cephalic Veins in the lateral thumb side. Basilic veins in the medial little finger side. The median cubital vein is considered the best site for venipuncture, well anchored, large & prominent.",A,B,C,
215,73,2023-01-14 01:40:45+00:00,Muscles,,Which statements below correctly describes this tissue specimen?,Primarily relies on extracellular calcium ions for contraction,"Smooth muscle have a limited Ca-storing sarcoplasmic reticulum. The influx of extracellular Ca++ ions diffuse into the sarcoplasm to reach calmodulin. A and D -  skeletal muscle, B - cardiac muscle.",Has prominent striations,Has intercalated discs,Primarily relies on extracellular calcium ions for contraction,Under voluntary control
217,74,2023-01-14 01:49:02+00:00,Metabolism,,Why is carbon monoxide dangerous to the body?,Binds to hemoglobin with a much greater affinity than oxygen,"Carbon monoxide is harmful when breathed because it displaces oxygen in the blood. A - cyanide poisoning, C - dinitrophenol poisoning",Inactivation of cytochrome oxidase,Binds to hemoglobin with a much greater affinity than oxygen,Separate the flow of electrons and the pumping of H+ ions for ATP synthesis,
220,75,2023-01-14 02:02:07+00:00,Head and Neck,,Which cranial nerve is involved here?,CN 3,"CN 3 Palsy
Ptosis: Levator palpebrae superioris paralysis
Ocular deviation: Unopposed LR and SO, ""down and out"" eye Dilated Pupil: sphincter pupillae paralysis  Diplopia: Deviation of affected eye",CN 1,CN 2,CN 3,CN 4
226,76,2023-01-16 01:49:22+00:00,Head and Neck,,Which of the following does not pass through this structure?,CN V2,"Lazy French Tarts Sit Nakedly In Anticipation 
Lacrimal CN V1
Frontal CN V1 Trochlear CN 4 Superior division of oculomotor CN 3 Nasociliary CN V1 Inferior division of oculomotor CN 3 Abducens CN 6",CN III,CN IV,CN V1,CN V2
229,77,2023-01-16 01:54:17+00:00,Thorax,,"What is this structure called in a normal, healthy adult?",Ligamentum Arteriosum,"The ligamentum arteriosum is the embryologic remnant of the ductus arteriosus, which serves to shunt blood away from the lungs during fetal development and typically closes near the time of birth.",Ductus Arteriosus,Ligamentum Arteriosum,Foramen ovale,Fossa ovalis
231,78,2023-01-16 02:09:39+00:00,Immune System,,A person with AIDS will have a low count of these cells. High risk of developing life-threatening conditions happen because these cells are important in ____,Coordinating the immune response by stimulating other immune cells,"CD4 T lymphocytes (CD4 cells) help coordinate the immune response by stimulating other immune cells: macrophages, B lymphocytes, & CD8 T lymphocytes (CD8 cells). B-B cells, C-CD8 cells, D-macrophage",Coordinating the immune response by stimulating other immune cells,Producing antibodies,Directly killing virus-infected cells,Phagocytosis of pathogens
234,79,2023-01-16 02:19:12+00:00,Thorax,,"If there is blunting of this area, which of the following likely happened?",Pleural effusion,Blunting of costophrenic sulcus is usually indicative of small pleural effusion. ~ 200 mL pleural fluid needs to be present for blunting of costophrenic angle to be visible on lateral chest radiograph,Pneumothorax,Tuberculosis infection,Lung cancer,Pleural effusion
236,80,2023-01-16 02:28:55+00:00,Biomolecules,,"A patient complained to you about his increasing weight. ""Why is my fat percentage still high when I shifted from high-fat diet to high-carbs diet?"" What do you say to the patient?",This is normal for a high-carb diet.,"In healthy individuals, hepatic lipogenesis is activated after ingestion of high-carbs, low-fat diet to generate fat from dietary carbs. Insulin activates lipogenic transcription factor, SREBP-1c.",This is a sign of a metabolism problem.,This is normal for a high-carb diet.,This is a sign to switch back to a high-fat diet.,This is normal for people who are shifting diets.
240,81,2023-01-17 01:39:04+00:00,Connective Tissue,,Which connective tissue is primarily affected in this condition?,Elastin,Marfan syndrome is an autosomal dominant connective tissue disorder caused by mutations in the Fibrillin1 gene (FBN1) that leads to impaired elastin formation & extracellular matrix homeostasis.,Bone,Cartilage,Collagen,Elastin
242,82,2023-01-17 01:54:55+00:00,Neuroanatomy,,Which follows the correct cerebrospinal fluid flow?,Lateral Ventricle →Foramen Monroe→Sylvius Aqueduct→ 4th ventricle→ foramen Lushka→Arachnoid Villi,Lateral Ventricle → foramen Monroe→Third ventricle → Sylvius Aqueduct→ fourth ventricle→ foramen Magendie (medial) → foramen Lushka (lateral)→Subarachnoid space→Arachnoid Villi→Superior Sagittal Sinus,Lateral Ventricle→3rd ventricle→Foramen Monroe→4thventricle→foramen Magendie→Superior Sagittal Sinus,Lateral Ventricle →Foramen Monroe→Sylvius Aqueduct→ 4th ventricle→ foramen Lushka→Arachnoid Villi,Lateral Ventricle→foramen Monroe→Sylvius Aqueduct→ 4th ventricle→Sagittal Sinus→foramen Lushka,Lateral Ventricle→foramen Monroe→4thventricle→Sylvius Aqueduct→3rd ventricle→Superior Sagittal Sinus
244,83,2023-01-17 02:22:56+00:00,Cardiovascular System,,Which of the following correctly describes each term?,Ischemia - diminished blood supply; Infarction - cell death,"Ischemia denotes diminished volume of perfusion.Infarction is tissue death, the cellular response to lack of perfusion,caused by artery blockage, rupture, mechanical compression, or vasoconstriction.",Ischemia - complete loss of blood supply; Infarction - diminished blood supply,Ischemia - diminished blood supply; Infarction - complete blood supply,Ischemia - cell death; Infarction - diminished blood supply,Ischemia - diminished blood supply; Infarction - cell death
247,84,2023-01-17 02:36:58+00:00,Bone,,"Paget's disease of bone disrupts the normal cycle of bone renewal, causing bones to become weakened and possibly deformed. Something goes wrong with these cells and they start to absorb bone at a much faster rate than usual. Which cell is the problem?",A,"Paget's disease is primarily a disease of the osteoclast (multiple nuclei), increased bone resorption by the osteoclasts, followed by abundant new bone formation that is of poor quality. B- osteoblast",A,B,,
249,85,2023-01-17 02:46:50+00:00,Head and Neck,,"Because of its large supply of blood, the Kiesselbach plexus is the most common site of nose bleeds. Which of the following is not part of the anastomosing blood vessels?",Inferior labial artery,"Little's area (Kiesselbach's plexus) is on anterior nasal septum, composed of anterior ethmoidal, posterior ethmoidal, sphenopalatine, greater palatine, & septal branch of the superior labial artery.",Anterior ethmoidal artery,Posterior ethmoidal artery,Sphenopalatine artery,Greater palatine artery
